sample,simulationStep,simulationStepsTime,timeSteps,particles,solver,fViscosity,stiffness,iterations,timeStep,densityError,cfl,boundary,bViscosity,gamma1,gamma2,gamma3
100,17069,3.561,475,932,IISPH,30,10000,3,0.02,0.0018022867,0.00055547064,Zero,30,1,1,1
101,17119,3.7907,476,932,IISPH,30,10000,3,0.02,0.0012664066,0.0004553407,Zero,30,1,1,1
102,17169,5.8342,477,932,IISPH,30,10000,9,0.02,0.0019822244,0.00049726106,Zero,30,1,1,1
103,17219,3.4065,478,932,IISPH,30,10000,3,0.02,0.0015020756,0.000388818,Zero,30,1,1,1
104,17269,15.3559,479,932,IISPH,30,10000,31,0.02,0.0019814696,0.00044148994,Zero,30,1,1,1
105,17319,3.2267,480,932,IISPH,30,10000,3,0.02,0.0015414574,0.0002790994,Zero,30,1,1,1
106,17369,48.737,481,932,IISPH,30,10000,114,0.02,0.0019690376,0.00038455185,Zero,30,1,1,1
107,17419,3.0664,482,932,IISPH,30,10000,3,0.02,0.0017376409,0.00021705126,Zero,30,1,1,1
108,17469,2.9726,483,932,IISPH,30,10000,3,0.02,0.0016517371,0.00021445971,Zero,30,1,1,1
109,17519,3.3042,484,932,IISPH,30,10000,3,0.02,0.0019293305,0.00021001877,Zero,30,1,1,1
110,17569,3.1717,485,932,IISPH,30,10000,3,0.02,0.0015537414,0.00021279872,Zero,30,1,1,1
111,17619,5.7119,486,932,IISPH,30,10000,8,0.02,0.001980346,0.00021834295,Zero,30,1,1,1
112,17669,3.1128,487,932,IISPH,30,10000,3,0.02,0.0016095319,0.00022761415,Zero,30,1,1,1
113,17719,23.6331,488,932,IISPH,30,10000,52,0.02,0.0019844566,0.00028654674,Zero,30,1,1,1
114,17769,3.2402,489,932,IISPH,30,10000,3,0.02,0.0017029013,0.00022326785,Zero,30,1,1,1
115,17819,3.4327,490,932,IISPH,30,10000,3,0.02,0.0016864623,0.0002891673,Zero,30,1,1,1
116,17869,3.4314,491,932,IISPH,30,10000,3,0.02,0.001953131,0.00019264597,Zero,30,1,1,1
117,17919,3.6409,492,932,IISPH,30,10000,3,0.02,0.0016651899,0.00027987486,Zero,30,1,1,1
118,17969,4.0402,493,932,IISPH,30,10000,3,0.02,0.0019787792,0.00024797014,Zero,30,1,1,1
