sample,simulationStep,simulationStepsTime,timeSteps,particles,solver,fViscosity,stiffness,iterations,timeStep,densityError,cfl,boundary,bViscosity,gamma1,gamma2,gamma3
190,23495,9.8789,705,1140,IISPH,5,2500,39,0.03,0.0029145202,0.0026908028,Extrapolation,10,1,1,1
191,23528,5.4043,706,1140,IISPH,5,2500,22,0.03,0.0028919314,0.0019369827,Extrapolation,10,1,1,1
192,23561,5.3653,707,1140,IISPH,5,2500,21,0.03,0.002881557,0.0017172203,Extrapolation,10,1,1,1
193,23595,10.7265,708,1140,IISPH,5,2500,45,0.03,0.0029063586,0.0025778965,Extrapolation,10,1,1,1
194,23628,7.7599,709,1140,IISPH,5,2500,30,0.03,0.002896007,0.0020698924,Extrapolation,10,1,1,1
195,23661,6.7862,710,1140,IISPH,5,2500,30,0.03,0.0028862306,0.001870575,Extrapolation,10,1,1,1
196,23695,6.8513,711,1140,IISPH,5,2500,24,0.03,0.0028856548,0.0019529716,Extrapolation,10,1,1,1
197,23728,13.6544,712,1140,IISPH,5,2500,58,0.03,0.002895352,0.0019068201,Extrapolation,10,1,1,1
198,23761,6.0399,713,1140,IISPH,5,2500,20,0.03,0.0028897414,0.002424198,Extrapolation,10,1,1,1
199,23795,5.8753,714,1140,IISPH,5,2500,20,0.03,0.0028816813,0.001511242,Extrapolation,10,1,1,1
200,23828,8.8366,715,1140,IISPH,5,2500,38,0.03,0.002880767,0.0015808637,Extrapolation,10,1,1,1
201,23861,4.6583,716,1140,IISPH,5,2500,14,0.03,0.0028889852,0.001981342,Extrapolation,10,1,1,1
202,23894,8.8226,717,1140,IISPH,5,2500,38,0.03,0.00288281,0.0019155326,Extrapolation,10,1,1,1
203,23928,9.3509,718,1140,IISPH,5,2500,38,0.03,0.0028761723,0.0013972295,Extrapolation,10,1,1,1
204,23961,4.5133,719,1140,IISPH,5,2500,11,0.03,0.0028776175,0.001476374,Extrapolation,10,1,1,1
205,23994,10.64,720,1140,IISPH,5,2500,43,0.03,0.00287799,0.001603919,Extrapolation,10,1,1,1
206,24028,12.9061,721,1140,IISPH,5,2500,59,0.03,0.0028756417,0.0015923672,Extrapolation,10,1,1,1
207,24061,3.8926,722,1140,IISPH,5,2500,12,0.03,0.0028770866,0.0014322712,Extrapolation,10,1,1,1
208,24094,3.7535,723,1140,IISPH,5,2500,11,0.03,0.0028780801,0.001325079,Extrapolation,10,1,1,1
209,24128,14.5653,724,1140,IISPH,5,2500,64,0.03,0.002875371,0.0013515801,Extrapolation,10,1,1,1
210,24161,3.1864,725,1140,IISPH,5,2500,10,0.03,0.0028749984,0.0013207258,Extrapolation,10,1,1,1
211,24194,8.4107,726,1140,IISPH,5,2500,37,0.03,0.0028754272,0.0013179161,Extrapolation,10,1,1,1
212,24227,3.5045,727,1140,IISPH,5,2500,9,0.03,0.002873542,0.0013296278,Extrapolation,10,1,1,1
213,24261,4.495,728,1140,IISPH,5,2500,14,0.03,0.0028703024,0.0011427389,Extrapolation,10,1,1,1
214,24294,3.4832,729,1140,IISPH,5,2500,9,0.03,0.002873779,0.001235365,Extrapolation,10,1,1,1
215,24327,4.7405,730,1140,IISPH,5,2500,12,0.03,0.0028743325,0.0012712697,Extrapolation,10,1,1,1
216,24361,4.5593,731,1140,IISPH,5,2500,14,0.03,0.002870765,0.0012212622,Extrapolation,10,1,1,1
217,24394,3.4759,732,1140,IISPH,5,2500,9,0.03,0.0028657075,0.0010178228,Extrapolation,10,1,1,1
218,24427,2.3809,733,1140,IISPH,5,2500,4,0.03,0.0028656288,0.0011349343,Extrapolation,10,1,1,1
219,24461,2.8973,734,1140,IISPH,5,2500,7,0.03,0.0028702347,0.0010513776,Extrapolation,10,1,1,1
