sample,simulationStep,simulationStepsTime,neighborSearchTime,timeSteps,particles,solver,fViscosity,stiffness,iterations,timeStep,densityError,cfl,boundary,bViscosity,gamma1,gamma2,gamma3
89,13273,5.8485,1.6724,390,6838,IISPH,5,2000,14,0.015,0.0014930447,0.00021073043,Zero,5,1,1,1
90,13340,5.9545,1.4609,391,6838,IISPH,5,2000,18,0.015,0.0014937026,0.00020253457,Zero,5,1,1,1
91,13407,6.4009,1.4041,392,6838,IISPH,5,2000,17,0.015,0.001493393,0.00019338068,Zero,5,1,1,1
92,13473,5.3909,1.4449,393,6838,IISPH,5,2000,15,0.015,0.0014929285,0.00018676613,Zero,5,1,1,1
93,13540,6.3891,1.3985,394,6838,IISPH,5,2000,18,0.015,0.0014929029,0.00017776838,Zero,5,1,1,1
94,13606,5.2014,1.4832,395,6838,IISPH,5,2000,13,0.015,0.0014942444,0.00018334902,Zero,5,1,1,1
95,13673,5.8458,1.4264,396,6838,IISPH,5,2000,16,0.015,0.0014929415,0.00019382127,Zero,5,1,1,1
96,13740,5.406,1.4645,397,6838,IISPH,5,2000,15,0.015,0.0014924384,0.00017708812,Zero,5,1,1,1
97,13806,6.0073,1.4169,398,6838,IISPH,5,2000,16,0.015,0.0014932769,0.00016305428,Zero,5,1,1,1
98,13873,6.1817,1.5493,399,6838,IISPH,5,2000,16,0.015,0.0014934188,0.00016088916,Zero,5,1,1,1
99,13939,7.0155,1.7067,400,6838,IISPH,5,2000,17,0.015,0.0014935478,0.00016667863,Zero,5,1,1,1
100,14006,5.7895,1.4817,401,6838,IISPH,5,2000,17,0.015,0.0014934834,0.00016805888,Zero,5,1,1,1
101,14073,5.9807,1.4254,402,6838,IISPH,5,2000,16,0.015,0.0014938317,0.0001697003,Zero,5,1,1,1
102,14139,9.0583,1.5687,403,6838,IISPH,5,2000,16,0.015,0.0014938833,0.00018614256,Zero,5,1,1,1
103,14206,5.3229,1.4725,404,6838,IISPH,5,2000,14,0.015,0.0014929157,0.00018227033,Zero,5,1,1,1
104,14272,5.2859,1.4587,405,6838,IISPH,5,2000,14,0.015,0.0014933414,0.00017854663,Zero,5,1,1,1
105,14339,7.2873,2.1479,406,6838,IISPH,5,2000,18,0.015,0.0014938059,0.00017309963,Zero,5,1,1,1
106,14406,6.2007,1.406,407,6838,IISPH,5,2000,20,0.015,0.0014936123,0.00017667333,Zero,5,1,1,1
107,14472,5.6309,2.2002,408,6838,IISPH,5,2000,12,0.015,0.0014930317,0.00017662109,Zero,5,1,1,1
108,14539,5.5631,1.4258,409,6838,IISPH,5,2000,16,0.015,0.001493393,0.00018374062,Zero,5,1,1,1
109,14605,8.4045,2.9019,410,6838,IISPH,5,2000,18,0.015,0.0014943606,0.00017462196,Zero,5,1,1,1
110,14672,6.4952,1.5435,411,6838,IISPH,5,2000,16,0.015,0.0014927738,0.00017096961,Zero,5,1,1,1
111,14739,6.3214,1.5476,412,6838,IISPH,5,2000,16,0.015,0.0014933414,0.00016693058,Zero,5,1,1,1
112,14805,5.5107,1.5376,413,6838,IISPH,5,2000,14,0.015,0.0014929285,0.0001678264,Zero,5,1,1,1
113,14872,6.0108,1.5117,414,6838,IISPH,5,2000,13,0.015,0.0014923997,0.00018361173,Zero,5,1,1,1
114,14938,5.7251,1.4756,415,6838,IISPH,5,2000,16,0.015,0.0014938704,0.00019855861,Zero,5,1,1,1
115,15005,5.5787,1.4582,416,6838,IISPH,5,2000,15,0.015,0.0014931607,0.00021124941,Zero,5,1,1,1
116,15072,5.7829,1.4301,417,6838,IISPH,5,2000,17,0.015,0.0014936123,0.0002225478,Zero,5,1,1,1
117,15138,5.5795,1.4219,418,6838,IISPH,5,2000,16,0.015,0.0014934447,0.00023084151,Zero,5,1,1,1
118,15205,8.332,3.161,419,6838,IISPH,5,2000,17,0.015,0.0014938317,0.00023676305,Zero,5,1,1,1
119,15271,5.5783,1.4162,420,6838,IISPH,5,2000,16,0.015,0.0014934704,0.00024001954,Zero,5,1,1,1
120,15338,5.0657,1.4434,421,6838,IISPH,5,2000,13,0.015,0.0014929931,0.00024022674,Zero,5,1,1,1
121,15405,6.8993,2.0656,422,6838,IISPH,5,2000,16,0.015,0.0014928898,0.00023833553,Zero,5,1,1,1
122,15471,6.5166,1.4992,423,6838,IISPH,5,2000,17,0.015,0.0014936123,0.00023406636,Zero,5,1,1,1
123,15538,6.4153,2.2386,424,6838,IISPH,5,2000,16,0.015,0.0014934316,0.00022712936,Zero,5,1,1,1
124,15604,5.9463,1.4488,425,6838,IISPH,5,2000,17,0.015,0.0014941284,0.00021789737,Zero,5,1,1,1
125,15671,6.3191,2.1915,426,6838,IISPH,5,2000,16,0.015,0.0014930833,0.00020604141,Zero,5,1,1,1
126,15738,5.5612,1.3975,427,6838,IISPH,5,2000,16,0.015,0.0014933028,0.00019222661,Zero,5,1,1,1
127,15804,5.6624,2.1177,428,6838,IISPH,5,2000,13,0.015,0.0014925932,0.00017496814,Zero,5,1,1,1
128,15871,6.2334,1.5473,429,6838,IISPH,5,2000,18,0.015,0.0014938446,0.00016216747,Zero,5,1,1,1
129,15937,6.5114,2.0988,430,6838,IISPH,5,2000,16,0.015,0.0014935221,0.00016427012,Zero,5,1,1,1
130,16004,7.1818,1.8601,431,6838,IISPH,5,2000,18,0.015,0.0014937156,0.00016234626,Zero,5,1,1,1
131,16071,5.7209,1.531,432,6838,IISPH,5,2000,15,0.015,0.0014931866,0.00016075138,Zero,5,1,1,1
132,16137,5.251,1.4281,433,6838,IISPH,5,2000,14,0.015,0.0014924253,0.00015615959,Zero,5,1,1,1
133,16204,5.7879,1.4378,434,6838,IISPH,5,2000,17,0.015,0.001493535,0.00015091914,Zero,5,1,1,1
134,16270,5.6525,1.4263,435,6838,IISPH,5,2000,17,0.015,0.0014940382,0.0001427496,Zero,5,1,1,1
135,16337,6.0808,1.4151,436,6838,IISPH,5,2000,18,0.015,0.0014945155,0.00013340182,Zero,5,1,1,1
136,16404,5.9574,2.1549,437,6838,IISPH,5,2000,14,0.015,0.0014932124,0.00013972404,Zero,5,1,1,1
137,16470,5.9169,1.4121,438,6838,IISPH,5,2000,17,0.015,0.001493922,0.00014385438,Zero,5,1,1,1
138,16537,6.8726,2.1064,439,6838,IISPH,5,2000,19,0.015,0.0014935737,0.00014691924,Zero,5,1,1,1
139,16603,5.8539,1.4509,440,6838,IISPH,5,2000,15,0.015,0.0014931607,0.00014803566,Zero,5,1,1,1
140,16670,6.8224,2.1521,441,6838,IISPH,5,2000,18,0.015,0.001493793,0.00014632894,Zero,5,1,1,1
141,16737,5.3893,1.4263,442,6838,IISPH,5,2000,15,0.015,0.0014934704,0.00014168816,Zero,5,1,1,1
142,16803,7.9826,2.2948,443,6838,IISPH,5,2000,19,0.015,0.0014940382,0.00013544642,Zero,5,1,1,1
143,16870,5.8329,1.4668,444,6838,IISPH,5,2000,17,0.015,0.0014936123,0.00012815253,Zero,5,1,1,1
