sample,relativeDensityError,localPressure,CFL
1181,0.046313502,92.627045,0.0177
1182,0.05963335,119.26675,0.0064
1183,0.06422281,128.44562,0.0062
1184,0.059844054,119.688034,0.0168
1185,0.04722138,94.44284,0.0252
1186,0.028052328,56.10466,0.03
1187,0.005056063,10.112047,0.0301
1188,-0.018165309,0,0.0292
1189,-0.040733814,0,0.0284
1190,-0.0626261,0,0.0276
1191,-0.08382082,0,0.0268
1192,-0.10430594,0,0.026
1193,-0.12408663,0,0.0253
1194,-0.14316598,0,0.0246
1195,-0.16154438,0,0.024
1196,-0.17923553,0,0.0234
1197,-0.19625539,0,0.0228
1198,-0.21261205,0,0.0222
1199,-0.22832383,0,0.0216
1200,-0.2434039,0,0.0211
1201,-0.25786757,0,0.0206
1202,-0.2717314,0,0.0201
1203,-0.28501067,0,0.0197
1204,-0.29772165,0,0.0193
1205,-0.3098813,0,0.0188
1206,-0.32150075,0,0.0184
1207,-0.33259878,0,0.0181
1208,-0.34319445,0,0.0177
1209,-0.3533006,0,0.0173
1210,-0.36293674,0,0.017
1211,-0.37211004,0,0.0167
1212,-0.3808459,0,0.0164
1213,-0.3891524,0,0.0161
1214,-0.3970542,0,0.0158
1215,-0.40457207,0,0.0155
1216,-0.4117259,0,0.0153
1217,-0.41853467,0,0.015
1218,-0.42501625,0,0.0148
1219,-0.43118346,0,0.0146
1220,-0.4370572,0,0.0144
